Task,Area,Scope,Complete %
EL4/H1/BUS/01,H1,Set Busduct Run 1-01,0
EL4/H1/BUS/02,H1,Terminate Budsuct Run 1-01,21
EL4/H1/BUS/03,H1,Test Busduct Run 1-01,0
EL4/H1/BUS/04,H1,Set Busduct Run 1-02,100
EL4/H1/BUS/05,H1,Terminate Busduct Run 1-02,0
EL4/H1/BUS/06,H1,Test Busduct Run 1-02,0
EL4/H1/BUS/07,H1,Set Busduct Run 1-03,0
EL4/H1/BUS/08,H1,Terminate Busduct Run 1-03,33
EL4/H1/BUS/09,H1,Test Busduct Run 1-03,38
EL4/H1/BUS/684,H1,Set Busduct Run 1-04,0
EL4/H1/BUS/688,H1,Terminate Busduct Run 1-04,0
EL4/H1/BUS/12,H1,Test Busduct Run 1-04,0.411
EL4/H1/BUS/13,H1,Set Busduct Run 1-05,50
EL4/H1/BUS/14,H1,Terminate Busduct Run 1-05,0
EL4/H1/BUS/15,H1,Test Busduct Run 1-05,35
EL4/H1/BUS/16,H1,Set Busduct Run 1-06,0
EL4/H1/BUS/685,H1,Terminate Busduct Run 1-06,23
EL4/H1/BUS/18,H1,Test Busduct Run 1-06,20
EL4/H2/BUS/19,H2,Set Busduct Run 2-01,47
EL4/H2/BUS/20,H2,Terminate Busduct Run 2-01,100
EL4/H2/BUS/21,H2,Test Busduct Run 2-01,7
EL4/H2/BUS/22,H2,Set Busduct Run 2-02,0
EL4/H2/BUS/23,H2,Terminate Busduct Run 2-02,0
EL4/H2/BUS/24,H2,Test Busduct Run 2-02,0
EL4/H2/BUS/25,H2,,0
EL4/H2/BUS/26,H2,Terminate Busduct Run 2-03,0
EL4/H2/BUS/27,H2,Test Busduct Run 2-03,35
EL4/H2/BUS/686,H2,Set Busduct Run 2-04,50
EL4/H2/BUS/29,H2,Terminate Busduct Run 2-04,0
EL4/H2/BUS/689,H2,Terminate Busduct Run 2-04,1
EL4/H2/BUS/31,H2,Set Busduct Run 2-05,0
EL4/H2/BUS/32,H2,Terminate Busduct Run 2-05,0
EL4/H2/BUS/687,H2,Test Busduct Run 2-05,0
EL4/H2/BUS/34,H2,Set Busduct Run 2-06,0
EL4/H2/BUS/35,H2,Terminate Busduct Run 2-06,0
EL4/H2/BUS/36,H2,Test Busduct Run 2-06,1
EL4/H2/BUS/690,H2,Set Busduct Run 2-07,0
EL4/H2/BUS/38,H2,Terminate Busduct Run 2-07,0
EL4/H2/BUS/39,H2,Test Busduct Run 2-07,0
EL4/H2/BUS/40,H2,Set Busduct Run 2-08,0
EL4/H2/BUS/41,H2,Terminate Busduct Ru n2-08,0
EL4/H2/BUS/42,H2,Test Busduct Run 2-08,38
EL4/H3/BUS/43,H3,Set Busduct Run 3-01,27
EL4/H3/BUS/44,H3,Terminate Busduct Run 3-01,31
EL4/H3/BUS/45,H3,Test Busduct Run 3-01,0
EL4/H3/BUS/46,H3,Set Busduct Run 3-02,0
EL4/H3/BUS/47,H3,Terminate Busduct Run 3-02,58
EL4/H3/BUS/48,H3,Test Busduct Run 3-02,0
EL4/H3/BUS/49,H3,Set Busduct Run 3-03,21
EL4/H3/BUS/50,H3,Terminate Busduct Run 3-03,54
EL4/H3/BUS/51,H3,Test Busduct Run 3-03,15
EL4/H3/BUS/52,H3,Set Busduct Run 3-04,0
EL4/H3/BUS/53,H3,Terminate Busduct Run 3-04,0
EL4/H3/BUS/54,H3,Test Busduct Run 3-04,27
EL4/H3/BUS/55,H3,Set Busduct Run 3-05,66
EL4/H3/BUS/56,H3,Terminate Busduct Run 3-05,0
EL4/H3/BUS/57,H3,Test Busduct Run 3-05,29
