Task,Area,Scope,Complete %
CT1/H1/EPMS/01,H1,Install Power metering Meter set 101,0
CT1/H1/EPMS/02,H1,Program Power metering Meter set 101,32
CT1/H1/EPMS/03,H1,Point-to-point Power metering Meter set 101,0
CT1/H1/EPMS/04,H1,Install Power metering Meter set 102,0
CT1/H1/EPMS/05,H1,Program Power metering Meter set 102,9
CT1/H1/EPMS/06,H1,Point-to-point Power metering Meter set 102,0
CT1/H1/EPMS/07,H1,Install Power metering Meter set 103,0
CT1/H1/EPMS/08,H1,Program Power metering Meter set 103,0
CT1/H1/EPMS/09,H1,Point-to-point Power metering Meter set 103,0
CT1/H1/EPMS/10,H1,Install Power metering Meter set 104,0
CT1/H1/EPMS/11,H1,Program Power metering Meter set 104,0
CT1/H1/EPMS/12,H1,Point-to-point Power metering Meter set 104,0
CT1/H1/EPMS/13,H1,Install Power metering Meter set 105,16
CT1/H1/EPMS/14,H1,Program Power metering Meter set 105,0
CT1/H1/EPMS/15,H1,Point-to-point Power metering Meter set 105,0
CT1/H2/EPMS/16,H2,Install Power metering Meter set 201,0
CT1/H2/EPMS/17,H2,Program Power metering Meter set 201,2
CT1/H2/EPMS/18,H2,Point-to-point Power metering Meter set 201,0.0
CT1/H2/EPMS/19,H2,Install Power metering Meter set 202,0
CT1/H2/EPMS/20,H2,Program Power metering Meter set 202,0
CT1/H2/EPMS/21,H2,Point-to-point Power metering Meter set 202,31
CT1/H2/EPMS/22,H2,Install Power metering Meter set 203,0
CT1/H2/EPMS/23,H2,Install Power metering Meter set 203,0
CT1/H2/EPMS/24,H2,Point-to-point Power metering Meter set 203,0
CT1/H2/EPMS/25,H2,Install Power metering Meter set 204,18
CT1/H2/EPMS/26,H2,Program Power metering Meter set 204,0
CT1/H2/EPMS/27,H2,Point-to-point Power metering Meter set 204,0
CT1/H2/EPMS/28,H2,Install Power metering Meter set 205,28
CT1/H2/EPMS/29,H2,Program Power metering Meter set 205,0
CT1/H2/EPMS/30,H2,Point-to-point Power metering Meter set 205,0
CT1/H2/EPMS/31,H2,Install Power metering Meter set 206,12
CT1/H2/EPMS/32,H2,Program Power metering Meter set 206,35
CT1/H2/EPMS/33,H2,Point-to-point Power metering Meter set 206,0
CT1/H3/EPMS/34,H3,Install Power metering Meter set 301,23
CT1/H3/EPMS/35,H3,Program Power metering Meter set 301,4
CT1/H3/EPMS/36,H3,Point-to-point Power metering Meter set 301,0
CT1/H3/EPMS/37,H3,Install Power metering Meter set 302,4
CT1/H3/EPMS/38,H3,Program Power metering Meter set 302,0
CT1/H3/EPMS/39,H3,Point-to-point Power metering Meter set 302,0
CT1/H3/EPMS/40,H3,Install Power metering Meter set 303,0
CT1/H3/EPMS/41,H3,Program Power metering Meter set 303,0
CT1/H3/EPMS/42,H3,Point-to-point Power metering Meter set 303,0.055
CT1/H3/EPMS/43,H3,Install Power metering Meter set 304,0
CT1/H3/EPMS/44,H3,Program Power metering Meter set 304,30
CT1/H3/EPMS/45,H3,Point-to-point Power metering Meter set 304,0.0
CT1/H3/EPMS/46,H3,Install Power metering Meter set 305,0
CT1/H3/EPMS/47,H3,Program Power metering Meter set 305,0.0
CT1/H3/EPMS/48,H3,Point-to-point Power metering Meter set 305,0
