Ref,Work Item,Zone,Progress
CT2110001,Install BAS Panel DDC-101,Data Hall 1,0
CT2110002,Program BAS Panel DDC-101,Data Hall 1,0.349
CT2110003,Point-to-point BAS Panel DDC-101,Data Hall 1,0
CT2110004,Install BAS Panel DDC-102,Data Hall 1,39
CT2110005,Program BAS Panel DDC-102,Data Hall 1,0
CT2110006,Point-to-point BAS Panel DDC-102,Data Hall 1,0
CT2110007,Install BAS Panel DDC-103,Data Hall 1,0
CT2110008,Program BAS Panel DDC-103,Data Hall 1,0
CT2110009,Ponit-to-point BAS Panel DDC-103,Data Hall 1,0
CT2110010,Install BAS Panel DDC-104,Data Hall 1,0
CT2110011,Program ABS Panel DDC-104,Data Hall 1,0.116
CT2110012,Point-to-point BAS Panel DDC-104,Data Hall 1,0.0
CT2110013,Install BAS Panel DDC-105,Data Hall 1,15
CT2110014,Program BAS Panel DDC-105,Data Hall 1,0
CT2110015,Point-to-point BAS Panel DDC-105,Data Hall 1,45
CT2110016,Install BAS Panel DDC-106,Data Hall 1,0
CT2110017,Program BAS Panel DDC-106,Data Hall 1,21
CT2110018,Point-to-point BAS Panel DDC-106,Data Hall 1,0
CT2110019,Install BSA Panel DDC-107,Data Hall 1,0
CT2110020,Program BAS Panel DDC-107,Data Hall 1,4
CT2110021,Point-to-point BAS Panel DDC-107,Data Hall 1,25
CT2110022,Install BAS Panel DDC-108,Data Hall 1,0
CT2110023,Program BAS Panel DDC-108,Data Hall 1,0
CT2110024,Point-to-point BAS Panel DDC-108,Data Hall 1,2
CT2120025,Install BAS Panel DDC-201,Data Hall 2,0
CT2120026,Program BAS Panel DDC-201,Data Hall 2,0
CT2120027,Point-to-point BAS Panel DDC-201,Data Hall 2,0
CT2120028,Install BAS Panel DDC-202,Data Hall 2,0
CT2120029,Program BAS Panel DDC-202,Data Hall 2,8
CT2120030,Point-to-point BAS Panel DDC-202,Data Hall 2,0
CT2120031,Install BAS Panel DDC-203,Data Hall 2,0
CT2120032,Program BAS Panel DDC-203,Data Hall 2,0
CT2120033,Point-to-point BAS Panel DDC-203,Data Hall 2,0
CT2120034,Install BAS Panel DDC-204,Data Hall 2,6
CT2120035,Program BAS Panel DDC-204,Data Hall 2,0
CT2120036,Point-to-point BAS Panel DDC-204,Data Hall 2,0
CT2120037,Install BAS Panel DDC-205,Data Hall 2,21
CT2120038,Program BAS Panel DDC-205,Data Hall 2,26
CT2120039,Point-to-point BAS Panel DDC-205,Data Hall 2,0
CT2120040,Install BAS Panel DDC-206,Data Hall 2,0
CT2120041,Program BAS Panel DDC-206,Data Hall 2,0
CT2120042,Point-to-point BAS Panel DDC-206,Data Hall 2,0
CT2120043,Install BAS Panel DDC-207,Data Hall 2,0
CT2120044,Program BAS Panel DDC-207,Data Hall 2,0
CT2120045,Point-to-point BAS Panel DDC-207,Data Hall 2,0
CT2130046,Install BAS Panel DDC-301,Data Hall 3,1
CT2130047,Program BAS Panel DDC-301,Data Hall 3,0.0
CT2130048,Point-to-point BAS Panel DDC-301,Data Hall 3,5
CT2130049,Install BAS Panel DDC-302,Data Hall 3,0
CT2130050,Program BAS Panel DDC-302,Data Hall 3,0
CT2130051,Point-to-point BAS Panel DDC-302,Data Hall 3,20
CT2130052,Install BAS Panel DDC-303,Data Hall 3,29
CT2130053,Program BAS Panel DDC-303,Data Hall 3,14
CT2130054,Point-t-opoint BAS Panel DDC-303,Data Hall 3,22
CT2130055,Install BAS Panel DDC-304,Data Hall 3,0
CT2130056,Program BAS Panel DDC-304,Data Hall 3,7
CT2130057,Point-to-point BAS Panel DDC-304,Data Hall 3,21
CT2130058,Install BAS Panel DDC-305,Data Hall 3,0
CT2130059,Program BAS Panel DDC-305,Data Hall 3,0
CT2130060,Point-to-point BAS Panel DDC-305,Data Hall 3,0
CT2130061,Install BAS Panel DDC-306,Data Hall 3,0
CT2130062,Program BAS Panel DDC-306,Data Hall 3,0
CT2130063,Point-to-point BAS Panel DDC-306,Data Hall 3,0
CT2130064,Install BAS Panel DDC-307,Data Hall 3,0
CT2130065,Program BAS Panel DDC-307,Data Hall 3,0.0
CT2130066,Point-to-point BAS Panel DDC-307,Data Hall 3,20
