Line No,Description,Location,Pct
10001,Fabrication Uninterruptible Power Supply Module 1A1,DH1,0
10002,Fabrication Uninterruptible Power Supply Module 1B2,DH1,0
10003,Fabrication Uninterruptible Power Supply Module 1C3,DH1,0
10004,Fabrication Uninterruptible Power Supply Module 1D4,DH1,0
10005,Fabrication Uninterruptible Power Supply Module 1E5,DH1,0
10006,Fabrication Uninterruptible Power Supply Module 1F6,DH1,21
61848,Fabrication Uninterruptible Power Supply Module 2A1,DH2,0
61850,Fabrication Uninterruptible Power Supply Module 2B2,DH2,0
61852,Fabrication Uninterruptible Power Supply Module 2C3,DH2,40
61854,Fabrication Uninterruptible Power Supply Module 2D4,DH2,0
61856,Fabrication Uninterruptible Power Supply Module 3A1,DH3,0
61858,Fabrication Uninterruptible Power Supply Module 3B2,DH3,43
61860,Fabrication Uninterruptible Power Supply Module 3C3,DH3,0
61862,Fabrication Uninterruptible Power Supply Module 3D4,DH3,0
61864,Fabrication Uninterruptible Power Supply Module 3E5,DH3,0
61866,Fabrication Uninterruptible Power Supply Module 3F6,DH3,16
