Line No,Description,Location,Pct
10001,Fabrication Electrical Distribution Equipment Lineup 1A,DH1,23
10002,Fabrication Electrical Distribution Equipment Lineup 1B,DH1,25
10003,Fabrication Electrical Distribution Equipment Lineup 1C,DH1,22
10004,,DH1,0
61856,Fabrication Electrical Distribution Equipment Lineup 2A,DH2,0
61858,Fabrication Electrical Distribution Equipment Lineup 2B,DH2,0
61860,Fabrication Electrical Distribution Equipment Lineup 2C,DH2,0
61869,Fabrication Electrical Distribution Equipment Lineup 2D,DH2,0
61864,Fabrication Electrical Distribution Equipment Lineup 3A,DH3,12
61866,Fabrication Electrical Distribution Equipment Lineup 3B,DH3,0
61868,Fabrication Electrical Distribution Equipment Lineup 3C,DH3,11
