Ref,Work Item,Zone,Progress
CT2110001,Install BAS Panel DDC-101,Data Hall 1,10
CT2110002,Program BAS Panel DDC-101,Data Hall 1,59
CT2110003,Point-to-point BAS Panel DDC-101,Data Hall 1,12
CT2110004,Install BAS Panel DDC-102,Data Hall 1,71
CT2110005,Program BAS Panel DDC-102,Data Hall 1,0
CT2114500,Point-to-point BAS Panel DDC-102,Data Hall 1,0
CT2110007,Install BAS Panel DDC-103,Data Hall 1,0
CT2110008,Program BAS Panel DDC-103,Data Hall 1,0
CT2110009,Point-to-point BAS Panel DDC-103,Data Hall 1,17
CT2110010,Install BAS Panel DDC-104,Data Hall 1,0
CT2110011,Program BAS Panel DDC-104,Data Hall 1,31
CT2110012,Point-to-point BAS Panel DDC-104,Data Hall 1,0
CT2110013,Install BAS Panel DDC-105,Data Hall 1,40
CT2110014,Program BAS Panel DDC-105,Data Hall 1,0
CT2110015,Point-to-point BAS Panel DDC-105,Data Hall 1,78
CT2110016,Install BAS Panel DDC-106,Data Hall 1,0
CT2110017,Program BAS Panel DDC-106,Data Hall 1,42
CT2114503,Point-to-point BAS Panel DDC-106,Data Hall 1,0
CT2110019,Install BAS Panel DDC-107,Data Hall 1,13
CT2110020,Program BAS Panel DDC-107,Data Hall 1,44
CT2110021,Point-to-point BAS Panel DDC-107,Data Hall 1,48
CT2110022,Install BAS Panel DDC-108,Data Hall 1,42
CT2110023,Program BAS Panel DDC-108,Data Hall 1,0
CT2110024,Point-to-point BAS Panel DDC-108,Data Hall 1,20
CT2120025,Install BAS Panel DDC-201,Data Hall 2,0
CT2120026,Program BAS Panel DDC-201,Data Hall 2,0
CT2120027,,Data Hall 2,1
CT2124504,Install BAS Panel DDC-202,Data Hall 2,0
CT2120029,Program BAS Panel DDC-202,Data Hall 2,30
CT2120030,Point-to-point BAS Panel DDC-202,Data Hall 2,0
CT2120031,Install BAS Panel DDC-203,Data Hall 2,0
CT2124505,Program BAS Panel DDC-203,Data Hall 2,0
CT2120033,Point-to-point BAS Panel DDC-203,Data Hall 2,0
CT2124501,Install BAS Panel DDC-204,Data Hall 2,23
CT2120035,Program BAS Panel DDC-204,Data Hall 2,0
CT2120036,Point-to-point BAS Panel DDC-204,Data Hall 2,0
CT2120037,Install BAS Panel DDC-205,Data Hall 2,41
CT2120038,Program BAS Panel DDC-205,Data Hall 2,60
CT2120039,Point-to-point BAS Panel DDC-205,Data Hall 2,0
CT2124506,Install BAS Panel DDC-206,Data Hall 2,0
CT2124507,Program BAS Panel DDC-206,Data Hall 2,16
CT2120042,Point-to-point BAS Panel DDC-206,Data Hall 2,0
CT2120043,Install BAS Panel DDC-207,Data Hall 2,0
CT2120044,Program BAS Panel DDC-207,Data Hall 2,0
CT2120045,Point-to-point BAS Panel DDC-207,Data Hall 2,0
CT2130046,Install BAS Panel DDC-301,Data Hall 3,19
CT2130047,Program BAS Panel DDC-301,Data Hall 3,0
CT2134502,Point-to-point BAS Panel DDC-301,Data Hall 3,27
CT2134508,Install BAS Panel DDC-302,Data Hall 3,0
CT2130050,Program BAS Panel DDC-302,Data Hall 3,0
CT2130051,Point-to-point BAS Panel DDC-302,Data Hall 3,42
CT2130052,Install BAS Panel DDC-303,Data Hall 3,50
CT2130053,Program BAS Panel DDC-303,Data Hall 3,78
CT2130054,Point-to-point BAS Panel DDC-303,Data Hall 3,72
CT2130055,Install BAS Panel DDC-304,Data Hall 3,0
CT2130056,Program BAS Panel DDC-304,Data Hall 3,35
CT2130057,Point-to-point BAS Panel DCD-304,Data Hall 3,54
CT2130058,Install BAS Panel DDC-305,Data Hall 3,0
CT2134509,Program BAS Panel DDC-305,Data Hall 3,6
CT2130060,Point-to-point BAS Panel DDC-305,Data Hall 3,31
CT2134510,Install BAS Panel DDC-306,Data Hall 3,0.0
CT2130062,Program BAS Panel DDC-306,Data Hall 3,0
CT2130063,Point-to-point BAS Panel DDC-306,Data Hall 3,20
CT2130064,Install BAS Panel DDC-307,Data Hall 3,0
CT2130065,Program BAS Panel DDC-307,Data Hall 3,0
CT2130066,Point-to-point BAS Panel DDC-307,Data Hall 3,59
