Line No,Description,Location,Pct
10001,Fabrication Electrical Distribution Equipment Lineup 1A,DH1,0
10002,Fabrication Electrical Distribution Equipment Lineup 1B,DH1,5
10003,Fabrication Electrical Distribution Equipment Lineup 1C,DH1,4
10004,Fabrication Electrical Distribution Equipment Lineup 1D,DH1,0
61856,Fabrication Electrical Distribution Equipment Lineup 2A,DH2,0
61858,Fabrication Electrical Distribution Equipment Lineup 2B,DH2,0
61860,Fabrication Electrical Distribution Equipment Lineup 2C,DH2,0
61862,Fabrication Electrical Distribution Equipment Lineup 2D,DH2,0
61864,Fabrication Electrical Distribution Equipment Lineup 3A,DH3,0
61866,Fabrication Electrical Distribution Equipment Lineup 3B,DH3,0
61868,Fabrication Electrical Distribution Equipment Lineup 3C,DH3,0
