Line No,Description,Location,Pct
10001,Fabrication CRAH units Unit 1-01,DH1,44
10002,Fabrication CRAH units Unit 1-02,DH1,48
10003,Fabrication CRAH units Unit 1-03,DH1,0
10004,Fabrication CRAH units Unit 1-04,DH1,0
61359,Fabrication CRAH units Unit 1-05,DH1,0.0
10006,Fabrication CRAH units Unit 1-06,DH1,29
61332,Fabrication CRAH units Unit 2-01,DH2,3
61334,Fabrication CRAH units Unit 2-02,DH2,26
61336,Fabrication CRAH units Unit 2-03,DH2,4
61338,Fabrication CRAH units Unit 2-04,DH2,0
61340,Fabrication CRAH units Unit 2-05,DH2,75
61342,Fabrication CRAH units Unit 2-06,DH2,0
10007,Fabrication CRAH units Unit 2-07,DH2,0
61345,Fabrication CRAH units Unit 3-01,DH3,0
61347,Fabrication CRAH units Unit 3-02,DH3,4
61349,Fabrication CRAH units Unit 3-03,DH3,0
61351,Fabrication CRAH units Unit 3-04,DH3,0
61353,Fabrication CRAH units Unit 3-05,DH3,0
61355,Fabrication CRAH units Unit 3-06,DH3,0
61357,Fabrication CRAH units Unit 3-07,DH3,3
10008,Fabrication CRAH units Unit 3-08,DH3,0
