Line No,Description,Location,Pct
10001,Fabrication CRAH units Unit 1-01,DH1,32
10002,Fabrication CRAH units Unit 1-02,DH1,28
10003,Fabrication CRAH units Unit 1-03,DH1,0
10004,FabricationC RAH units Unit 1-04,DH1,0
10005,Fabrication CRAH units Unit 1-05,DH1,0
10006,Fabrication CRAH units Unit 1-06,DH1,17
61332,Fabrication CRAH units Unit 2-01,DH2,0
61334,Fabrication CRAH units Unit 2-02,DH2,1
61336,Fabrication CRAH units Unit 2-03,DH2,0
61338,Fabrication CRAH units Unit 2-04,DH2,0
61340,Fabrication CRAH units Unit 2-05,DH2,42
61342,Fabrication CRAH units Unit 2-06,DH2,0
10007,Fabrication CRAH units Unit 2-07,DH2,0
61345,Fabrication CRAH units Unit 3-01,DH3,0.0
61347,Fabrication CRAH units Unit 3-02,DH3,0
61349,Fabrication CRAH units Unit 3-03,DH3,0
61351,Fabrication CRAH units Unit 3-04,DH3,0
61353,Fabrication CRAH units Unit 3-05,DH3,0
61355,Fabrication CRAH units Unit 3-06,DH3,0
61357,Fabrication CRAH units Unit 3-07,DH3,0
10008,,DH3,0
